catogery,comment,content,img_link,score,title
"剧情,战争,爱情","为什么《魂断蓝桥》在东方受到的追捧远比它的故乡美国来得热烈。因为影片中的贞洁观念、门 第观念、一见钟情、一生痴恋，简直同中国传统的才子佳人故事如出一辙。《魂断蓝桥》在中国的成功，不是因为它输出了美国人的价值观，恰恰相反，是因为它迎合了东方人传统的价值观。,在苏格兰的克劳宁家，克劳宁夫人和罗依的叔叔对玛拉很满意，然而其他人很不喜欢玛拉的舞蹈演员的身份。玛拉感到了巨大的压力，她意识到爱情在社会的非难前是无能为力的，她将实情告诉了克劳宁夫人，并求她不要告诉罗依。玛拉给罗依留下了一封信说不能嫁给他，于是离开了。罗依焦急万分，他找到了凯蒂，凯蒂告诉了他一切。玛拉来到滑铁卢桥上，独自倚着栏杆，眼神呆滞。一队军用卡车隆隆开来，玛拉平静地迎着卡车走去，任凭车灯在脸上照耀。在人群的惊叫声中，一个年轻的生命结束了，地上散落着手提包和一只象牙雕的吉祥符。",第一次世界大战期间，回国度假的陆军中尉罗伊（罗伯特·泰勒 饰）在滑铁卢桥上邂逅了舞蹈演员玛拉（费雯·丽 饰），两人彼此倾心，爱情迅速升温。就在两人决定结婚之时，罗伊应招回营地，两人被迫分离。由于错过剧团演出，玛拉被开除，只能和好友相依为命。不久玛拉得知罗伊阵亡的消息，几欲崩溃，备受打击。失去爱情的玛拉感到一切都失去了意义，为了生存，她和好友不得不沦为妓女。然而命运弄人，就在此时玛拉竟然再次遇到了罗伊。虽然为罗伊的生还兴奋不已，玛拉却因自己的失身陷入痛苦之中。感到一切难以挽回的玛拉潸然离开，独自来到两人最初相遇的地点——滑铁卢桥上…,http://p0.meituan.net/movie/46c29a8b8d8424bdda7715e6fd779c66235684.jpg@464w_644h_1e_1c,.,魂断蓝桥
"动画,奇幻,冒险","《千与千寻》是宫崎骏的名作，是儿时喜欢的动画，从那时起我就对宫崎骏有所偏爱，不管是不是他导演的，反正有关宫崎骏的电影我都一一看过。当初的少女心，曾多次幻想有白龙一样的男朋友，有忠心耿耿的无脸男，有可爱的煤炭子，慈祥的锅炉爷爷。虽然，千寻的遭遇很悲惨，但是她仍然是幸福的，因为有这么多朋友在帮助他。当然，环保主题一直是老爷子的隐喻主题，这是我觉得他隐藏得最深的地方，处理得最好的地方。,那里有一座不能越过的桥。那里有你消失了的名字。直至也有你永远不想忘记的人。神秘，一切都是未知。一边经历一边成长，想回到现实，只要努力即使渺茫也的确存在希望。还有那个无脸男，其实谁人不是无脸男，只是暂时不想记起内心那些淡淡的寂寞忧伤…",本影片讲述了10岁少女的奇幻之旅。千寻（ 柊瑠美 配音）跟随父母搬往新家，途中误入一座神庙，来到了另一个世界：一条专门给神仙提供服务的热闹非凡的浴场街。双亲因为吃了给神准备的美食而被变成了猪。小千寻在迷之美少年白龙（ 入野自由 配音）的帮助下得以安身，改名为“千”，进了魔女汤婆婆（ 夏木真理 配音）经营的大浴场做帮佣，等待机会救出父母回到自己的世界。在这里有口恶心善的烧锅炉的爷爷（菅原文太 配音），有性格爽利热心肠的玲（玉井夕海 配音），交到了许多新朋友。然而要救出双亲，她还必须面临严酷的考验……,http://p0.meituan.net/movie/b076ce63e9860ecf1ee9839badee5228329384.jpg@464w_644h_1e_1c,.,千与千寻
"喜剧,爱情,古装","我们都爱周星驰，我们都爱周星驰，我们都爱周星驰，重要的事情要说三遍，唐伯虎点秋香是为数不多百看不厌的电影，什么红烧翅我爱吃呀！什么含笑半步癫一日丧命散呀！什么***呀！什么还我漂漂拳面目全非脚呀！什么小人本住在苏州的城边呀！什么超级忍者龟龟波气功隔山打牛挂腊肠呀！什么东淫西贱南荡北色小淫虫周伯通呀！什么你是唐伯虎我就是观世音呀！什么坐我的船你就选对了为什么啊因为沉的快呀！什么美女要对比着看呀！什么9527我们没把你当下人只当你是条狗呀！什么我的马子石榴你也敢画让你看看什么叫做真正的画像小弟真是甘拜下风呀！什么藏头诗我为秋香呀！什么兵器榜排行榜第一是小李飞刀他老娘呀！要不是字数限制我还想写更多！,这部片子是我印象里，大概最早的一部喜剧片了吧！现在我才高一，记得家里那时候看这部片子用的还是DVD呢！那时候家人们也不知道星爷，巩俐名气多大。（我还是小孩儿呢，就更不造啦！）只是知道他们是不错的明星！但看这些片子，都是因为喜欢，好看。所以，那时候中央6套演星爷的电影时，家里人就不会抢着换台了，爸爸也是，目不转睛的看着！一起嘻嘻哈哈！很开心！印象较为深刻的还有大话西游，功夫，整蛊专家。现在星爷也很少出新片了，我们一家人也很少坐在一起看电影了，大家都很忙。最近听说星爷有新作品要上映了，期待吧，希望到时候我们一家三口可以又坐在一起看星爷的电影，一起嘻嘻哈哈！",唐伯虎（周星驰 饰）身为江南四大才子之首，却有道不尽的心酸。宁王想让唐伯虎帮其图谋作反，被唐伯虎拒绝意淫结仇。唐伯虎在与朋友出游时，遇到了貌若天仙的秋香（巩俐 饰）并对她一见钟情，决心要到华府当家丁以追求秋香，唐伯虎被取名华安。期间华太师遇到了宁王上门刁难，幸好有唐伯虎出面相助，并暴露了自己是唐伯虎的身份。秋香才知道华安是自己欣赏的唐伯虎。华夫人跟唐家有怨，因此二人便开始斗法。怎料宁王跟夺命书生再次上门，华夫人不是对手，幸得唐伯虎出手，华夫人也答应把秋香许配给唐伯虎。,http://p0.meituan.net/movie/da64660f82b98cdc1b8a3804e69609e041108.jpg@464w_644h_1e_1c,.,唐伯虎点秋香
"历史,爱情,灾难"," “答应我活下去, 答应我,你不会放弃...无论发生什么事,无论环境怎样... Rose,答应我,千万别忘了 。”
这段在冰海上的告白经典毋庸置疑，所有观众的心都在杰克沉入海底的那一刹那心碎不已。
杰克把活着的希望，活着的勇气传给了ross，爱到极致，便是生命的延续;大难临头，方显爱情真挚。当百年的ross把海洋之心归还大海，她心中那份对jack的爱恋，犹如当年在船头飞翔时一样，至死不渝。

《泰坦尼克号》在票房上的统治地位毋庸置疑，全球6亿多美元，一直无敌到詹姆斯卡梅隆必须用自己的《阿凡达》才能打破，总而言之一句话，卡梅隆也许不是最艺术的导演，但一定是最会赚钱，最会玩特效的导演！,这是我人生中第一部电影，那时候是借邻居的dvd来家里看的，那时候的我还不懂轰轰烈烈的爱情，只是被壮烈的画面所感叹，被优雅而悲伤的小提琴声所感染，看着人们一个个无助地从倾斜的船体滑落到冰冷的海水中，人类的渺小仿佛沙漠中的一粒沙，沧海一粟。只感觉:每一个人都有存在的理由，不该就这么匆忙的离去。",1912年4月15日，载着1316号乘客和891名船员的豪华巨轮“泰坦尼克号”与冰山相撞而沉没，这场海难被认为是20世纪人间十大灾难之一。1985年，“泰坦尼克号”的沉船遗骸在北大西洋两英里半的海底被发现。美国探险家洛维特（比尔·帕克斯顿 饰）亲自潜入海底，在船舱的墙壁上看见了一幅画，洛维持的发现立刻引起了一位老妇人（格劳瑞亚·斯图尔特 饰）的注意。已经是101岁高龄的露丝称她就是画中的少女。在潜水舱里，露丝开始叙述当年在船上发生的故事。年轻的贵族少女露丝（凯特·温丝莱特 饰）与穷画家杰克（莱昂纳多·迪卡普里奥 饰）不顾世俗的偏见坠入爱河，然而就在1912年4月14日，一个风平浪静的夜晚，泰坦尼克号撞上了冰山，“永不沉没的”泰坦尼克号面临沉船的命运，罗丝和杰克刚萌芽的爱情也将经历生死的考验，最终不得不永世相隔。老态龙钟的罗丝讲完这段哀恸天地的爱情之后，把那串价值连城的项链“海洋之心”沉入海底，让它陪着杰克和这段爱情长眠海底。,http://p1.meituan.net/movie/0699ac97c82cf01638aa5023562d6134351277.jpg@464w_644h_1e_1c,.,泰坦尼克号
"动画,奇幻,家庭","宫崎骏动画之中给我印象最深刻的一部，也是我看得最懂的一部。久石让的配乐华丽而浪漫
龙猫的戏份并不很多
龙猫是个有着柔软肚子的胖家伙有魔法，有神奇的能力 大白的前身
龙猫开创了萌。尤其是下雨的时候在车站等爸爸回家的那个场景，真是太萌了
1988年拍的电影，2015年拿出来看也不会觉得无趣。这就是经典的魅力把,喜欢宫崎骏的所有动画，包括《龙猫》。似乎宫崎骏的电影总有一种魅力让你百看不厌，无论看了多少次，总是离不开他电影里面的各种情节。精细的画风，流畅的动画，经典的动画形象。在宫崎骏的电影里面总能感受到一片刻的美好。",影片讲述了草壁家姐妹和森林精灵龙猫相识为友的奇遇经历。因母亲草壁靖子（岛本须美 配音）生病住院，草壁梅（坂本千夏 配音）和草壁五月（日高法子 配音）跟着父亲草壁达郎（糸井重里 配音）一起住到了乡下。一天，小梅在院子里捡橡果子玩耍时意外发现了龙猫（高木均 配音）的踪迹，其后她跟随龙猫到了它们栖息的树洞并与龙猫一起玩耍。后来母亲病重，思念母亲的小梅决定独自去医院探望母亲，却在途中迷路。小月四处寻找小梅却怎么也找不到，正在她万分焦急之时碰到了龙猫，龙猫是否会帮助草壁小月找到小梅呢？,http://p0.meituan.net/movie/b03e9c52c585635d2cb6a3f7c08a8a50112441.jpg@464w_644h_1e_1c,.,龙猫
"犯罪,剧情,惊悚","最经典的黑帮电影，属于意大利男人的经典影像,阿尔帕西诺打破了身高和帅的定律",40年代的美国，“教父”维托·唐·柯里昂（马龙·白兰度 饰）是黑手党柯里昂家族的首领，带领家族从事非法的勾当，但同时他也是许多弱小平民的保护神，深得人们爱戴。 因为拒绝了毒枭索洛索的毒品交易要求，柯里昂家族和纽约其他几个黑手党家族的矛盾激化。圣诞前夕，索洛索劫持了“教 父”的参谋汤姆，并派人暗杀“教父”；因为内奸的出卖，“教父”的大儿子逊尼被仇家杀害；小儿子麦克（阿尔·帕西诺 饰）也被卷了进来，失去爱妻。黑手党家族之间的矛盾越来越白热化。年老的“教父”面对丧子之痛怎样统领全局？黑手党之间的仇杀如何落幕？谁是家族的内奸？谁又能够成为新一代的“教父”？血雨腥风和温情脉脉，在这部里程碑式的黑帮史诗巨片里真实上演。,http://p1.meituan.net/movie/f5a924f362f050881f2b8f82e852747c118515.jpg@464w_644h_1e_1c,.,教父
"剧情,惊悚,犯罪","最享受的一次观影！在巨幕厅重温经典，观众素质极高。满座，期间无喧哗，手机基本无声响，手机亮屏也很少见。结束后鼓掌持续半分钟，多数自觉把垃圾带到门口扔掉！享受，真的是享受！,爱是永恒的话题 世间有这样纯粹的爱足矣【娜塔莉·波特曼真的好漂亮",里昂（让·雷诺 饰）是名孤独的职业杀手，受人雇佣。一天，邻居家小姑娘马蒂尔德（纳塔丽·波特曼 饰）敲开他的房门，要求在他那里暂避杀身之祸。原来邻居家的主人是警方缉毒组的眼线，只因贪污了一小包毒品而遭恶警（加里·奥德曼 饰）杀害全家的惩罚。马蒂尔德 得到里昂的留救，幸免于难，并留在里昂那里。里昂教小女孩使枪，她教里昂法文，两人关系日趋亲密，相处融洽。 女孩想着去报仇，反倒被抓，里昂及时赶到，将女孩救回。混杂着哀怨情仇的正邪之战渐次升级，更大的冲突在所难免……,http://p0.meituan.net/movie/e55ec5d18ccc83ba7db68caae54f165f95924.jpg@464w_644h_1e_1c,.,这个杀手不太冷
"喜剧,剧情,爱情","经典影片，棒极了！
,票送给朋友了",欧洲某国的安妮公主（奥黛丽·赫本 饰）到访罗马，国务烦身，但她又厌倦繁文缛节。一天晚上，身心俱疲的她偷偷来到民间欣赏夜景，巧遇报社记者乔（格利高里·派克 饰）。二人把手同游，相当快乐。公主更是到乔的家中作客并在那过夜。不料乔无意中发现了公主的真实身份，他决定炮制一个独家新闻，于是乔和朋友、摄影师欧文（埃迪·艾伯特 饰）一起带公主同游罗马，并且偷拍了公主的很多生活照。然而，在接下来与公主的相处中，乔不知不觉恋上了公主。为了保护公主的形象，乔只能忍痛抛弃功成名就的良机，将照片送予了公主。安妮公主在经历了罗马一日假期后，反而体验了自己对国家的责任，毅然返回了大使馆，为了本身的责任而果断抛弃了爱情。,http://p0.meituan.net/movie/54617769d96807e4d81804284ffe2a27239007.jpg@464w_644h_1e_1c,.,罗马假日
"犯罪,剧情","简直就是穿越过来的基督山伯爵啊！这是我看完《肖申克的救赎》的第一反应。犹记得高中时候天天晚上在被窝打着手电筒看《基督山伯爵》的场景……两个人都太不幸了！同样是年轻有前途的帅哥，同样遭人陷害被判入狱，然后同样在狱中获得各种技能学会N国语言，然后带着恨越狱逃出来换个身份开始新一轮的人生……这当然是个悲伤的故事，但是悲伤之中又总让人感动得热泪盈眶。没有谁的人生是没有磨难的。一死了之固然容易，但那太便宜了那些坏人，死了都难瞑目的。无论遇到怎样的磨难，还是要坚持活下去斗争下去，唯有绝地求生方有还击之机啊！,目前为止最喜欢的电影，没有之一！剧情和演技都想当给力！难以逾越的经典中的经典！hope is a good thing。",20世纪40年代末，小有成就的青年银行家安迪（蒂姆·罗宾斯 饰）因涉嫌杀害妻子及她的情人而锒铛入狱。在这座名为肖申克的监狱内，希望似乎虚无缥缈，终身监禁的惩罚无疑注定了安迪接下来灰暗绝望的人生。未过多久，安迪尝试接近囚犯中颇有声望的瑞德（摩根·弗里曼 饰），请求对方帮自己搞来小锤子。以此为契机，二人逐渐熟稔，安迪也仿佛在鱼龙混杂、罪恶横生、黑白混淆的牢狱中找到属于自己的求生之道。他利用自身的专业知识，帮助监狱管理层逃税、洗黑钱，同时凭借与瑞德的交往在犯人中间也渐渐受到礼遇。表面看来，他已如瑞德那样对那堵高墙从憎恨转变为处之泰然，但是对自由的渴望仍促使他朝着心中的希望和目标前进。而关于其罪行的真相，似乎更使这一切朝前推进了一步……,http://p0.meituan.net/movie/283292171619cdfd5b240c8fd093f1eb255670.jpg@464w_644h_1e_1c,.,肖申克的救赎
"爱情,剧情","你不曾真的离去，你始终在我心里。
Miss You Much Leslie,-可那是戏。

大概是魔怔了。",影片借一出《霸王别姬》的京戏，牵扯出三个人之间一段随时代风云变幻的爱恨情仇。段小楼（张丰毅 饰）与程蝶衣（张国荣 饰）是一对打小一起长大的师兄弟，两人一个演生，一个饰旦，一向配合天衣无缝，尤其一出《霸王别姬》，更是誉满京城，为此，两人约定合演一辈子《霸王别姬》。但两人对戏剧与人生关系的理解有本质不同，段小楼深知戏非人生，程蝶衣则是人戏不分。段小楼在认为该成家立业之时迎娶了名妓菊仙（巩俐 饰），致使程蝶衣认定菊仙是可耻的第三者，使段小楼做了叛徒，自此，三人围绕一出《霸王别姬》生出的爱恨情仇战开始随着时代风云的变迁不断升级，终酿成悲剧。,http://p1.meituan.net/movie/20803f59291c47e1e116c11963ce019e68711.jpg@464w_644h_1e_1c,.,霸王别姬
